,FLWS
Price/Earnings (TTM),72.08776
Price/Sales (TTM),0.24301
Price/Book (MRQ),1.11964
Price/Cash Flow (TTM),8.93107
5yr Low,5.82
5yr High,39.61
5yr Avg Return,0.07911666666666667
EPS Growth 5yr,-0.07044310000000001
Revenue Growth 5yr,0.1308935
Dividend Growth 5yr,
Short Int Current Month,2465091.0
Short Int Prev Month,2802703.0
Short Int Pct of Float,0.10613429999999999
Days to Cover,2.43295
Float,23.36239
Shares Outstanding,64.63055
Institutions Holding Shares,184.0
% Held by Institutions,0.62491
FCF Growth 5yr,2.0507323095702312
