,FLWS
% Above Low,0.4227
% Held by Institutions,0.6249
52-Wk Range,['5.82 - 32.92']
Annual Dividend $,
Annual Dividend %,
Ask,8.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,8.1
Bid Size,100.0
Closing Price,8.28
Day Change $,-0.1
Day Change %,-0.011899999999999999
Day High,8.42
Day Low,8.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.753
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,535.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",72.09
Prev Close,8.38
Shares Outstanding,64.6M
Short Interest,0.1061
Today's Open,8.41
Volume,216222.0
Volume 10-day Avg,630195.0
Volume Past Day,(Light)
