,FFIC
% Above Low,0.0762
% Held by Institutions,0.6757
52-Wk Range,['19.30 - 25.95']
Annual Dividend $,0.88
Annual Dividend %,0.0424
Ask,21.69
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.7
Bid,8.32
Bid Size,200.0
Closing Price,20.77
Day Change $,-0.01
Day Change %,-0.0005
Day High,20.96
Day Low,20.75
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.24100000000000002
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,619.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,20.78
Shares Outstanding,29.8M
Short Interest,0.0173
Today's Open,20.75
Volume,35967.0
Volume 10-day Avg,83758.0
Volume Past Day,(Light)
