,FFIC
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.02898550724637672
Growth 1yr Consensus Est,-0.01449275362318836
Growth 2yr Low Est,-0.2270992366412214
Growth 2yr High Est,-0.16001514168288988
Growth 2yr Consensus Est,-0.19355718916205564
Growth 5yr Low Est,0.04582538167938929
Growth 5yr High Est,0.10124242915855503
Growth 5yr Consensus Est,0.07353390541897216
Growth 5yr Actual/Est,0.06658884252055583
Growth 3yr Historic,0.14817795042545318
