,VTOL
% Above Low,0.1527
% Held by Institutions,0.9470000000000001
52-Wk Range,['21.61 - 40.10']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,14.96
Bid Size,
Closing Price,24.91
Day Change $,-0.92
Day Change %,-0.0356
Day High,25.7
Day Low,24.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.48100000000000004
Last (size),180.0
Last (time),7:00p ET 11/28/22
Market Cap,696.2M
"P/E Ratio (TTM, GAAP)",45.74
Prev Close,25.83
Shares Outstanding,28.0M
Short Interest,0.0128
Today's Open,25.41
Volume,45887.0
Volume 10-day Avg,53307.0
Volume Past Day,(Below Average)
