,NOW
Price/Earnings (TTM),411.6018
Price/Sales (TTM),11.88848
Price/Book (MRQ),18.21911
Price/Cash Flow (TTM),128.1253
5yr Low,112.84
5yr High,707.6
5yr Avg Return,0.29033333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3348947
Dividend Growth 5yr,
Short Int Current Month,3121855.0
Short Int Prev Month,3377248.0
Short Int Pct of Float,0.015505999999999999
Days to Cover,1.69515
Float,201.3668
Shares Outstanding,202.0
Institutions Holding Shares,1872.0
% Held by Institutions,0.886208
FCF Growth 5yr,-0.03538999617302848
