,ATRA
Price/Earnings (TTM),
Price/Sales (TTM),5.59369
Price/Book (MRQ),2.11954
Price/Cash Flow (TTM),
5yr Low,2.83
5yr High,54.45
5yr Avg Return,-0.010583333333333325
Short Int Current Month,12053638.0
Short Int Prev Month,11920329.0
Short Int Pct of Float,0.1278212
Days to Cover,7.57788
Float,94.27878
Shares Outstanding,94.87867
Institutions Holding Shares,219.0
% Held by Institutions,0.970402
FCF Growth 5yr,0.18494372452580574
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
