,ATRA
% Above Low,0.47700000000000004
% Held by Institutions,0.9704
52-Wk Range,['2.83 - 18.61']
Annual Dividend $,
Annual Dividend %,
Ask,4.52
Ask Size,8100.0
B/A Ratio,0.07407407407407407
B/A Size,600x8100
Beta,1.0
Bid,4.0
Bid Size,600.0
Closing Price,4.18
Day Change $,0.01
Day Change %,0.0024
Day High,4.24
Day Low,4.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.47
Ex-dividend Date,No dividend
Historical Volatility,1.266
Last (size),44.0
Last (time),1:00p ET 11/25/22
Market Cap,396.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.17
Shares Outstanding,94.9M
Short Interest,0.1278
Today's Open,4.24
Volume,205096.0
Volume 10-day Avg,1533559.0
Volume Past Day,(Light)
