,ATRA
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.567062818336163
Growth 1yr High Est,-0.7269303201506592
Growth 1yr Consensus Est,-0.6469965692434111
Growth 2yr Low Est,-0.2247078797563168
Growth 2yr High Est,-0.2531203324891227
Growth 2yr Consensus Est,-0.23891410612271974
Growth 5yr Low Est,-0.1123539398781584
Growth 5yr High Est,-0.12656016624456135
Growth 5yr Consensus Est,-0.11945705306135987
Growth 5yr Actual/Est,-0.17103737582282522
Growth 3yr Historic,-0.09834470155755295
