,HELE
% Above Low,0.1307
% Held by Institutions,1.0201
52-Wk Range,['82.94 - 256.26']
Annual Dividend $,
Annual Dividend %,
Ask,98.6
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,0.7
Bid,92.78
Bid Size,1100.0
Closing Price,93.78
Day Change $,-0.53
Day Change %,-0.005600000000000001
Day High,95.22
Day Low,93.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.04
Ex-dividend Date,No dividend
Historical Volatility,0.42200000000000004
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.33
Prev Close,94.31
Shares Outstanding,24.0M
Short Interest,0.0793
Today's Open,93.88
Volume,81803.0
Volume 10-day Avg,456887.0
Volume Past Day,(Light)
