,HELE
Price/Earnings (TTM),13.32663
Price/Sales (TTM),1.006
Price/Book (MRQ),1.60748
Price/Cash Flow (TTM),10.67521
5yr Low,81.1
5yr High,265.97
5yr Avg Return,0.08510000000000001
EPS Growth 5yr,0.121187
Revenue Growth 5yr,0.0973097
Dividend Growth 5yr,
Short Int Current Month,1881415.0
Short Int Prev Month,1691611.0
Short Int Pct of Float,0.0792987
Days to Cover,4.92522
Float,23.72569
Shares Outstanding,23.99007
Institutions Holding Shares,326.0
% Held by Institutions,1.020138
FCF Growth 5yr,-1.5109177246059602
