,HELE
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.22413793103448276
Growth 1yr High Est,-0.20359281437125742
Growth 1yr Consensus Est,-0.2138653727028701
Growth 2yr Low Est,-0.13984674329501917
Growth 2yr High Est,-0.053461283662535275
Growth 2yr Consensus Est,-0.09665401347877722
Growth 5yr Low Est,0.003376516869770224
Growth 5yr High Est,0.043367934291404814
Growth 5yr Consensus Est,0.02337222558058752
Growth 5yr Actual/Est,0.028435782199317333
Growth 3yr Historic,0.0784080945128986
