,AKRO
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),6.22629
Price/Cash Flow (TTM),
5yr Low,7.52
5yr High,46.5
5yr Avg Return,0.36924999999999997
Short Int Current Month,4069576.0
Short Int Prev Month,4654297.0
Short Int Pct of Float,0.0970416
Days to Cover,7.7423
Float,42.19637
Shares Outstanding,46.76319
Institutions Holding Shares,196.0
% Held by Institutions,0.9570029999999999
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
