,AKRO
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.17253521126760574
Growth 1yr High Est,0.15037593984962405
Growth 1yr Consensus Est,0.1614555755586149
Growth 2yr Low Est,0.20188322124941838
Growth 2yr High Est,0.06865202221239369
Growth 2yr Consensus Est,0.13526762173090603
Growth 5yr Low Est,0.053798753481852035
Growth 5yr High Est,0.13617786295804876
Growth 5yr Consensus Est,0.0949883082199504
Growth 5yr Actual/Est,0.053457174238716904
Growth 3yr Historic,0.003947728516694088
