,AKRO
% Below High,0.0345
% Held by Institutions,0.9570000000000001
52-Wk Range,['7.52 - 47.48']
Annual Dividend $,
Annual Dividend %,
Ask,47.5
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,-0.9
Bid,44.01
Bid Size,800.0
Closing Price,45.84
Day Change $,0.45
Day Change %,0.009899999999999999
Day High,47.48
Day Low,44.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.37
Ex-dividend Date,No dividend
Historical Volatility,1.136
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.39
Shares Outstanding,46.8M
Short Interest,0.09699999999999999
Today's Open,45.47
Volume,198313.0
Volume 10-day Avg,533575.0
Volume Past Day,(Light)
