,IART
% Above Low,0.3279
% Held by Institutions,0.8931
52-Wk Range,['40.67 - 69.95']
Annual Dividend $,
Annual Dividend %,
Ask,54.37
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,53.63
Bid Size,100.0
Closing Price,54.0
Day Change $,0.31
Day Change %,0.0058
Day High,54.15
Day Low,53.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.321
Last (size),340.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.29
Prev Close,53.69
Shares Outstanding,83.5M
Short Interest,0.059699999999999996
Today's Open,53.83
Volume,88133.0
Volume 10-day Avg,422301.0
Volume Past Day,(Light)
