,GO
% Above Low,0.2854
% Held by Institutions,0.9762000000000001
52-Wk Range,['23.69 - 46.37']
Annual Dividend $,
Annual Dividend %,
Ask,32.8
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,-0.1
Bid,30.4
Bid Size,200.0
Closing Price,30.45
Day Change $,-0.1
Day Change %,-0.0033
Day High,30.64
Day Low,30.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),176.0
Last (time),1:00p ET 11/25/22
Market Cap,3.0B
"P/E Ratio (TTM, GAAP)",54.56
Prev Close,30.55
Shares Outstanding,97.3M
Short Interest,0.09789999999999999
Today's Open,30.29
Volume,351011.0
Volume 10-day Avg,1308093.0
Volume Past Day,(Light)
