,GO
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.1785714285714286
Growth 1yr High Est,0.09782608695652173
Growth 1yr Consensus Est,0.13819875776397517
Growth 2yr Low Est,0.09433621933621938
Growth 2yr High Est,0.16772492466637967
Growth 2yr Consensus Est,0.13103057200129953
Growth 5yr Low Est,0.09433621933621938
Growth 5yr High Est,0.16772492466637967
Growth 5yr Consensus Est,0.13103057200129953
Growth 5yr Actual/Est,0.12340569250129543
Growth 3yr Historic,0.058127914723517665
