,GOSS
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.13888888888888895
Growth 1yr High Est,-0.10067114093959728
Growth 1yr Consensus Est,-0.11978001491424312
Growth 2yr Low Est,-0.008512544802867394
Growth 2yr High Est,-0.2070519883802464
Growth 2yr Consensus Est,-0.1077822665915569
Growth 5yr Low Est,-0.021830062247950782
Growth 5yr High Est,-0.05712785186174832
Growth 5yr Consensus Est,-0.03947895705484955
Growth 5yr Actual/Est,-0.06469341336459256
Growth 3yr Historic,-0.009820625882957318
