,GOSS
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),14.88268
Price/Cash Flow (TTM),
5yr Low,5.64
5yr High,27.15
5yr Avg Return,-0.15682499999999996
Short Int Current Month,19133630.0
Short Int Prev Month,18977585.0
Short Int Pct of Float,0.21272359999999998
Days to Cover,16.79256
Float,89.93156
Shares Outstanding,94.4768
Institutions Holding Shares,209.0
% Held by Institutions,0.9756319999999999
FCF Growth 5yr,0.18501518403685926
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
