,GOSS
% Above Low,0.5833
% Held by Institutions,0.9756
52-Wk Range,['5.64 - 15.20']
Annual Dividend $,
Annual Dividend %,
Ask,9.63
Ask Size,3300.0
B/A Ratio,0.030303030303030304
B/A Size,100x3300
Beta,0.8
Bid,8.75
Bid Size,100.0
Closing Price,8.93
Day Change $,-0.1
Day Change %,-0.0111
Day High,9.16
Day Low,8.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.89
Ex-dividend Date,No dividend
Historical Volatility,0.723
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,843.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.03
Shares Outstanding,94.5M
Short Interest,0.2127
Today's Open,9.03
Volume,772356.0
Volume 10-day Avg,1687766.0
Volume Past Day,(Light)
