,NVTA
Price/Earnings (TTM),
Price/Sales (TTM),1.29863
Price/Book (MRQ),4.24929
Price/Cash Flow (TTM),
5yr Low,1.83
5yr High,61.59
5yr Avg Return,0.14225000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.7901182
Dividend Growth 5yr,
Short Int Current Month,45755865.0
Short Int Prev Month,46467872.0
Short Int Pct of Float,0.193489
Days to Cover,3.31205
Float,240.4908
Shares Outstanding,242.8956
Institutions Holding Shares,348.0
% Held by Institutions,0.692371
FCF Growth 5yr,0.20041406193958441
