,ASGN
Price/Earnings (TTM),16.85968
Price/Sales (TTM),1.00145
Price/Book (MRQ),2.38209
Price/Cash Flow (TTM),12.34809
5yr Low,29.04
5yr High,131.89
5yr Avg Return,0.0928
EPS Growth 5yr,0.1909486
Revenue Growth 5yr,0.1043974
Dividend Growth 5yr,
Short Int Current Month,933531.0
Short Int Prev Month,1058860.0
Short Int Pct of Float,0.0193161
Days to Cover,3.7278
Float,48.32551
Shares Outstanding,49.9
Institutions Holding Shares,385.0
% Held by Institutions,0.9653010000000001
FCF Growth 5yr,0.5460978405675868
