,ASGN
% Above Low,0.1501
% Held by Institutions,0.9653
52-Wk Range,['78.26 - 131.89']
Annual Dividend $,
Annual Dividend %,
Ask,127.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,26.0
Bid Size,100.0
Closing Price,90.0
Day Change $,0.16
Day Change %,0.0018
Day High,90.59
Day Low,89.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.34
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,89.84
Shares Outstanding,49.9M
Short Interest,0.019299999999999998
Today's Open,89.61
Volume,105732.0
Volume 10-day Avg,210882.0
Volume Past Day,(Light)
