,ASGN
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.25
Growth 1yr High Est,0.23220973782771548
Growth 1yr Consensus Est,0.24110486891385774
Growth 2yr Low Est,0.10515267175572518
Growth 2yr High Est,0.15713830356431369
Growth 2yr Consensus Est,0.13114548766001943
Growth 5yr Low Est,0.08483555908883778
Growth 5yr High Est,0.1148267814755049
Growth 5yr Consensus Est,0.09983117028217134
Growth 5yr Actual/Est,0.10182646202942097
Growth 3yr Historic,0.045149521288349925
