,INTA
% Below High,0.25739999999999996
% Held by Institutions,0.8127
52-Wk Range,['13.52 - 29.29']
Annual Dividend $,
Annual Dividend %,
Ask,35.26
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,
Bid,18.0
Bid Size,700.0
Closing Price,21.75
Day Change $,-0.39
Day Change %,-0.0176
Day High,22.05
Day Low,21.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.53
Ex-dividend Date,No dividend
Historical Volatility,0.615
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.14
Shares Outstanding,63.0M
Short Interest,0.0086
Today's Open,22.0
Volume,8634.0
Volume 10-day Avg,54197.0
Volume Past Day,(Light)
