,INTA
Price/Earnings (TTM),
Price/Sales (TTM),4.73472
Price/Book (MRQ),5.46994
Price/Cash Flow (TTM),
5yr Low,13.52
5yr High,40.91
5yr Avg Return,-0.07465
Short Int Current Month,323902.0
Short Int Prev Month,423919.0
Short Int Pct of Float,0.0086418
Days to Cover,5.07675
Float,55.79977
Shares Outstanding,63.00313
Institutions Holding Shares,107.0
% Held by Institutions,0.812695
FCF Growth 5yr,1.6483507858887947
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
