,BRC
Price/Earnings (TTM),16.0407
Price/Sales (TTM),1.84353
Price/Book (MRQ),2.63372
Price/Cash Flow (TTM),12.78293
5yr Low,33.0
5yr High,61.76
5yr Avg Return,0.03718333333333334
EPS Growth 5yr,0.0960881
Revenue Growth 5yr,0.0318169
Dividend Growth 5yr,0.0187925
Short Int Current Month,841012.0
Short Int Prev Month,1303611.0
Short Int Pct of Float,0.0189832
Days to Cover,5.45839
Float,44.31535
Shares Outstanding,49.73937
Institutions Holding Shares,251.0
% Held by Institutions,0.876574
FCF Growth 5yr,1.5107931037370463
