,BRC
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.0714285714285714
Growth 1yr High Est,0.1548387096774193
Growth 1yr Consensus Est,0.11313364055299535
Growth 2yr Low Est,0.04329004329004327
Growth 2yr High Est,0.16540818165435212
Growth 2yr Consensus Est,0.10434911247219769
Growth 5yr Low Est,0.10794747275854688
Growth 5yr High Est,0.16318754313087497
Growth 5yr Consensus Est,0.13556750794471092
Growth 5yr Actual/Est,0.13190199879844444
Growth 3yr Historic,0.08273015614834095
