,BRC
% Below High,0.12890000000000001
% Held by Institutions,0.8765999999999999
52-Wk Range,['40.52 - 55.45']
Annual Dividend $,0.92
Annual Dividend %,0.019
Ask,77.26
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,38.0
Bid Size,300.0
Closing Price,48.3
Day Change $,-0.01
Day Change %,-0.0002
Day High,48.64
Day Low,48.16
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.259
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.04
Prev Close,48.31
Shares Outstanding,49.7M
Short Interest,0.019
Today's Open,48.61
Volume,100208.0
Volume 10-day Avg,143183.0
Volume Past Day,(Light)
