,HIMS
Price/Earnings (TTM),
Price/Sales (TTM),3.39609
Price/Book (MRQ),3.96119
Price/Cash Flow (TTM),
5yr Low,2.72
5yr High,25.4
5yr Avg Return,-0.04005000000000001
Short Int Current Month,15968219.0
Short Int Prev Month,13180989.0
Short Int Pct of Float,0.1048751
Days to Cover,5.01779
Float,156.4135
Shares Outstanding,207.7387
Institutions Holding Shares,182.0
% Held by Institutions,0.575972
FCF Growth 5yr,0.010769673782782227
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
