,HIMS
% Below High,0.1607
% Held by Institutions,0.5760000000000001
52-Wk Range,['2.72 - 7.28']
Annual Dividend $,
Annual Dividend %,
Ask,6.26
Ask Size,1000.0
B/A Ratio,1.3
B/A Size,1300x1000
Beta,
Bid,6.01
Bid Size,1300.0
Closing Price,6.11
Day Change $,-0.16
Day Change %,-0.0255
Day High,6.26
Day Low,6.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.7190000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.27
Shares Outstanding,207.7M
Short Interest,0.10490000000000001
Today's Open,6.19
Volume,922250.0
Volume 10-day Avg,2238529.0
Volume Past Day,(Light)
