,CRWD
Price/Earnings (TTM),
Price/Sales (TTM),17.8212
Price/Book (MRQ),26.67103
Price/Cash Flow (TTM),
5yr Low,31.95
5yr High,298.48
5yr Avg Return,0.6694249999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.9405855
Dividend Growth 5yr,
Short Int Current Month,9606798.0
Short Int Prev Month,9642983.0
Short Int Pct of Float,0.04536539999999999
Days to Cover,2.13311
Float,211.9435
Shares Outstanding,233.3805
Institutions Holding Shares,1414.0
% Held by Institutions,0.741601
FCF Growth 5yr,0.20890323574581993
