,SGMO
% Above Low,0.10740000000000001
% Held by Institutions,0.586
52-Wk Range,['3.12 - 8.76']
Annual Dividend $,
Annual Dividend %,
Ask,3.46
Ask Size,1900.0
B/A Ratio,0.5789473684210527
B/A Size,1100x1900
Beta,1.1
Bid,3.45
Bid Size,1100.0
Day Change $,-0.105
Day Change %,-0.029500000000000002
Day High,3.64
Day Low,3.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.7020000000000001
Last (size),100.0
Last (time),2:08p ET 11/28/22
Market Cap,566.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,3.56
Price,3.46
Shares Outstanding,163.9M
Short Interest,0.0817
Today's Open,3.59
Volume Past Day,(Light)
