,SGMO
Price/Earnings (TTM),
Price/Sales (TTM),5.20649
Price/Book (MRQ),1.86454
Price/Cash Flow (TTM),
5yr Low,3.12
5yr High,27.5
5yr Avg Return,-0.10891666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4168348
Dividend Growth 5yr,
Short Int Current Month,11349220.0
Short Int Prev Month,12143772.0
Short Int Pct of Float,0.08166230000000001
Days to Cover,6.74157
Float,138.9765
Shares Outstanding,163.88
Institutions Holding Shares,259.0
% Held by Institutions,0.58601
FCF Growth 5yr,0.2270085218421284
