,COMM
% Above Low,0.6277
% Held by Institutions,0.8853
52-Wk Range,['5.56 - 13.73']
Annual Dividend $,
Annual Dividend %,
Ask,10.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.8
Bid,9.0
Bid Size,300.0
Closing Price,9.05
Day Change $,-0.1
Day Change %,-0.0109
Day High,9.19
Day Low,9.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.57
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),97.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.15
Shares Outstanding,208.3M
Short Interest,0.0433
Today's Open,9.07
Volume,473461.0
Volume 10-day Avg,2928160.0
Volume Past Day,(Light)
