,DOOR
Price/Earnings (TTM),10.592
Price/Sales (TTM),0.57563
Price/Book (MRQ),2.39457
Price/Cash Flow (TTM),6.57985
5yr Low,34.88
5yr High,132.22
5yr Avg Return,0.06933333333333333
EPS Growth 5yr,0.039424100000000004
Revenue Growth 5yr,0.056388999999999995
Dividend Growth 5yr,
Short Int Current Month,607942.0
Short Int Prev Month,689112.0
Short Int Pct of Float,0.0275979
Days to Cover,3.42524
Float,22.02566
Shares Outstanding,22.27604
Institutions Holding Shares,261.0
% Held by Institutions,1.000219
FCF Growth 5yr,-2.215199173617114
