,DOOR
% Above Low,0.12150000000000001
% Held by Institutions,1.0002
52-Wk Range,['65.71 - 119.32']
Annual Dividend $,
Annual Dividend %,
Ask,93.49
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,29.56
Bid Size,200.0
Closing Price,73.69
Day Change $,-0.19
Day Change %,-0.0026
Day High,74.13
Day Low,73.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.96
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,73.88
Shares Outstanding,22.3M
Short Interest,0.0276
Today's Open,73.48
Volume,32567.0
Volume 10-day Avg,116984.0
Volume Past Day,(Light)
