,DOOR
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.22681704260651614
Growth 1yr High Est,0.2382716049382716
Growth 1yr Consensus Est,0.23254432377239387
Growth 2yr Low Est,-0.0025261058673241576
Growth 2yr High Est,0.19889652031559646
Growth 2yr Consensus Est,0.09818520722413615
Growth 5yr Low Est,0.2758488104299323
Growth 5yr High Est,0.33168369683874815
Growth 5yr Consensus Est,0.30376625363434023
Growth 5yr Actual/Est,0.2901991179167074
Growth 3yr Historic,0.25178928428628544
