,AGR
% Above Low,0.13119999999999998
% Held by Institutions,0.1293
52-Wk Range,['37.64 - 52.51']
Annual Dividend $,1.76
Annual Dividend %,0.041299999999999996
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,17.05
Bid Size,
Closing Price,42.58
Day Change $,0.25
Day Change %,0.0059
Day High,42.78
Day Low,42.42
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.23800000000000002
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,16.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.37
Prev Close,42.33
Shares Outstanding,386.6M
Short Interest,0.053399999999999996
Today's Open,42.54
Volume,266756.0
Volume 10-day Avg,486682.0
Volume Past Day,(Light)
