,AGR
Price/Earnings (TTM),18.36675
Price/Sales (TTM),2.13854
Price/Book (MRQ),0.85073
Price/Cash Flow (TTM),8.67815
5yr Low,35.62
5yr High,57.24
5yr Avg Return,-0.031799999999999995
EPS Growth 5yr,-0.0061526
Revenue Growth 5yr,0.0299258
Dividend Growth 5yr,0.0036766
Short Int Current Month,3777497.0
Short Int Prev Month,3799524.0
Short Int Pct of Float,0.0533948
Days to Cover,6.9771
Float,70.75043
Shares Outstanding,386.6242
Institutions Holding Shares,406.0
% Held by Institutions,0.129299
FCF Growth 5yr,0.153938464283878
