,F
Price/Earnings (TTM),6.36574
Price/Sales (TTM),0.37307
Price/Book (MRQ),1.3831
Price/Cash Flow (TTM),3.45786
5yr Low,3.96
5yr High,25.87
5yr Avg Return,0.13996666666666668
EPS Growth 5yr,0.3111407
Revenue Growth 5yr,-0.0212519
Dividend Growth 5yr,-0.3011729
Short Int Current Month,135575860.0
Short Int Prev Month,128400995.0
Short Int Pct of Float,0.0343804
Days to Cover,2.21971
Float,3941.21
Shares Outstanding,4020.494
Institutions Holding Shares,1947.0
% Held by Institutions,0.49920200000000003
FCF Growth 5yr,-1.1633206007644825
