,F
% Above Low,0.327
% Held by Institutions,0.49920000000000003
52-Wk Range,['10.61 - 25.87']
Annual Dividend $,0.6
Annual Dividend %,0.0426
Ask,14.08
Ask Size,2000.0
B/A Ratio,0.65
B/A Size,1300x2000
Beta,1.4
Bid,14.03
Bid Size,1300.0
Closing Price,14.08
Day Change $,0.05
Day Change %,0.0036
Day High,14.11
Day Low,13.9
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.495
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,56.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.37
Prev Close,14.03
Shares Outstanding,4.0B
Short Interest,0.0344
Today's Open,13.96
Volume,12980862.0
Volume 10-day Avg,45094399.0
Volume Past Day,(Light)
