,FFIN
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.031847133757961776
Growth 1yr High Est,0.037735849056603765
Growth 1yr Consensus Est,0.03479149140728277
Growth 2yr Low Est,0.025182826138240078
Growth 2yr High Est,0.05523156089193826
Growth 2yr Consensus Est,0.04020719351508917
Growth 5yr Low Est,0.08940016591505984
Growth 5yr High Est,0.1008529881125772
Growth 5yr Consensus Est,0.09512657701381852
Growth 5yr Actual/Est,0.09337476438820014
Growth 3yr Historic,0.07331800721685483
