,FFIN
% Above Low,0.0432
% Held by Institutions,0.5985
52-Wk Range,['35.75 - 53.62']
Annual Dividend $,0.68
Annual Dividend %,0.0182
Ask,38.28
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,20.56
Bid Size,1000.0
Closing Price,37.29
Day Change $,0.31
Day Change %,0.0084
Day High,37.37
Day Low,37.08
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.289
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.1
Prev Close,36.98
Shares Outstanding,142.6M
Short Interest,0.050199999999999995
Today's Open,37.19
Volume,133704.0
Volume 10-day Avg,387862.0
Volume Past Day,(Light)
