,FFIN
Price/Earnings (TTM),23.09636
Price/Sales (TTM),10.03172
Price/Book (MRQ),4.66514
Price/Cash Flow (TTM),21.79533
5yr Low,20.7
5yr High,55.0
5yr Avg Return,0.10863333333333332
EPS Growth 5yr,0.1493976
Revenue Growth 5yr,0.1013509
Dividend Growth 5yr,0.104948
Short Int Current Month,6863197.0
Short Int Prev Month,7392951.0
Short Int Pct of Float,0.0502421
Days to Cover,15.42555
Float,136.6514
Shares Outstanding,142.6417
Institutions Holding Shares,370.0
% Held by Institutions,0.598455
FCF Growth 5yr,0.218208307940608
