,RLAY
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27179487179487183
Growth 1yr High Est,-0.2936288088642659
Growth 1yr Consensus Est,-0.28271184032956886
Growth 2yr Low Est,-0.02674250631997105
Growth 2yr High Est,-0.19975558090272122
Growth 2yr Consensus Est,-0.11324904361134613
Growth 5yr Low Est,-0.02674250631997105
Growth 5yr High Est,-0.19975558090272122
Growth 5yr Consensus Est,-0.11324904361134613
Growth 5yr Actual/Est,-0.11602615020451083
Growth 3yr Historic,-0.05949820788530469
