,RLAY
Price/Earnings (TTM),
Price/Sales (TTM),1328.061
Price/Book (MRQ),2.25002
Price/Cash Flow (TTM),
5yr Low,12.65
5yr High,64.37
5yr Avg Return,-0.1551
Short Int Current Month,13048303.0
Short Int Prev Month,13456533.0
Short Int Pct of Float,0.11255169999999999
Days to Cover,14.3087
Float,118.1419
Shares Outstanding,120.8949
Institutions Holding Shares,237.0
% Held by Institutions,1.024254
FCF Growth 5yr,0.4723014721307363
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
