,RLAY
% Above Low,0.4656
% Held by Institutions,1.0243
52-Wk Range,['12.65 - 35.36']
Annual Dividend $,
Annual Dividend %,
Ask,18.58
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,18.52
Bid Size,200.0
Day Change $,-0.08
Day Change %,-0.0043
Day High,19.09
Day Low,18.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.7
Ex-dividend Date,No dividend
Historical Volatility,0.877
Last (size),1.0
Last (time),12:53p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.62
Price,18.54
Shares Outstanding,120.9M
Short Interest,0.11259999999999999
Today's Open,18.6
Volume Past Day,(Light)
