,CARS
% Above Low,0.5863
% Held by Institutions,0.9741
52-Wk Range,['8.75 - 19.09']
Annual Dividend $,
Annual Dividend %,
Ask,15.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,13.45
Bid Size,100.0
Closing Price,13.88
Day Change $,-0.03
Day Change %,-0.0022
Day High,13.99
Day Low,13.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,922.6M
"P/E Ratio (TTM, GAAP)",1310.67
Prev Close,13.91
Shares Outstanding,66.6M
Short Interest,0.0353
Today's Open,13.89
Volume,105168.0
Volume 10-day Avg,470848.0
Volume Past Day,(Light)
