,HES
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.6448087431693987
Growth 1yr High Est,4.821969696969696
Growth 1yr Consensus Est,3.7333892200695473
Growth 2yr Low Est,1.1559875799805015
Growth 2yr High Est,2.473769493897991
Growth 2yr Consensus Est,1.8148785369392462
Growth 5yr Low Est,0.24670005332033437
Growth 5yr High Est,0.9298814169846255
Growth 5yr Consensus Est,0.5882907351524799
Growth 5yr Actual/Est,0.7782505983762712
Growth 3yr Historic,0.08419256331956182
