,HES
% Below High,0.0338
% Held by Institutions,0.8568000000000001
52-Wk Range,['68.32 - 149.83']
Annual Dividend $,1.5
Annual Dividend %,0.0104
Ask,147.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,144.6
Bid Size,100.0
Closing Price,144.76
Day Change $,-0.14
Day Change %,-0.001
Day High,146.2
Day Low,144.09
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",6.01
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.455
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,44.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.08
Prev Close,144.9
Shares Outstanding,308.3M
Short Interest,0.020099999999999996
Today's Open,145.49
Volume,642976.0
Volume 10-day Avg,1882052.0
Volume Past Day,(Light)
