,HES
Price/Earnings (TTM),24.08199
Price/Sales (TTM),4.19975
Price/Book (MRQ),5.90432
Price/Cash Flow (TTM),11.68956
5yr Low,26.06
5yr High,149.83
5yr Avg Return,0.29263333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0943119
Dividend Growth 5yr,0.0
Short Int Current Month,5569611.0
Short Int Prev Month,6108434.0
Short Int Pct of Float,0.0201409
Days to Cover,2.493
Float,276.5659
Shares Outstanding,308.3085
Institutions Holding Shares,909.0
% Held by Institutions,0.856818
FCF Growth 5yr,0.48615878143437197
