,CGNX
% Above Low,0.21730000000000002
% Held by Institutions,0.9259000000000001
52-Wk Range,['40.21 - 80.30']
Annual Dividend $,0.28
Annual Dividend %,0.005699999999999999
Ask,49.88
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,1.6
Bid,47.61
Bid Size,1500.0
Closing Price,48.94
Day Change $,-0.23
Day Change %,-0.004699999999999999
Day High,49.54
Day Low,48.61
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.21
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.45
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.41
Prev Close,49.17
Shares Outstanding,172.9M
Short Interest,0.0286
Today's Open,49.07
Volume,349855.0
Volume 10-day Avg,661767.0
Volume Past Day,(Light)
