,CGNX
Price/Earnings (TTM),40.40754
Price/Sales (TTM),8.37342
Price/Book (MRQ),6.09205
Price/Cash Flow (TTM),36.28196
5yr Low,34.88
5yr High,101.82
5yr Avg Return,-0.00426666666666667
EPS Growth 5yr,0.13480330000000001
Revenue Growth 5yr,0.1439006
Dividend Growth 5yr,0.1068144
Short Int Current Month,4763956.0
Short Int Prev Month,4920829.0
Short Int Pct of Float,0.028555100000000003
Days to Cover,5.10247
Float,166.8424
Shares Outstanding,172.9302
Institutions Holding Shares,710.0
% Held by Institutions,0.925917
FCF Growth 5yr,0.31495843412668906
