,LOB
% Above Low,0.1595
% Held by Institutions,0.649
52-Wk Range,['28.28 - 94.31']
Annual Dividend $,0.12
Annual Dividend %,0.0037
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,32.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.531
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.18
Prev Close,32.79
Shares Outstanding,44.0M
Short Interest,0.0642
Today's Open,
Volume,74428.0
Volume 10-day Avg,215375.0
Volume Past Day,(Light)
