,LOB
Price/Earnings (TTM),7.18483
Price/Sales (TTM),2.5241
Price/Book (MRQ),1.79946
Price/Cash Flow (TTM),6.39706
5yr Low,7.57
5yr High,99.89
5yr Avg Return,0.25554999999999994
EPS Growth 5yr,0.566693
Revenue Growth 5yr,0.4453206
Dividend Growth 5yr,0.1138242
Short Int Current Month,2095588.0
Short Int Prev Month,2321977.0
Short Int Pct of Float,0.06422080000000001
Days to Cover,8.24574
Float,32.78875
Shares Outstanding,43.9844
Institutions Holding Shares,248.0
% Held by Institutions,0.649038
FCF Growth 5yr,-0.8326813326956799
