,GCI
% Above Low,0.816
% Held by Institutions,0.6579
52-Wk Range,['1.25 - 6.38']
Annual Dividend $,
Annual Dividend %,
Ask,2.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.4
Bid,1.35
Bid Size,100.0
Closing Price,2.27
Day Change $,0.04
Day Change %,0.0179
Day High,2.28
Day Low,2.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.97
Ex-dividend Date,No dividend
Historical Volatility,0.6729999999999999
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,331.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.23
Shares Outstanding,146.1M
Short Interest,0.1232
Today's Open,2.25
Volume,294128.0
Volume 10-day Avg,961549.0
Volume Past Day,(Light)
