,PFG
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.020061728395061817
Growth 1yr High Est,-0.001506024096385561
Growth 1yr Consensus Est,-0.01078387624572369
Growth 2yr Low Est,0.029339214542626613
Growth 2yr High Est,0.042233413291173805
Growth 2yr Consensus Est,0.03578631391690021
Growth 5yr Low Est,0.0698126059702937
Growth 5yr High Est,0.07457849748390064
Growth 5yr Consensus Est,0.07219555172709717
Growth 5yr Actual/Est,0.07550550454289107
Growth 3yr Historic,0.06393750090694061
