,EGHT
Price/Earnings (TTM),
Price/Sales (TTM),0.67334
Price/Book (MRQ),5.6523
Price/Cash Flow (TTM),
5yr Low,2.87
5yr High,39.17
5yr Avg Return,-0.012533333333333327
EPS Growth 5yr,
Revenue Growth 5yr,0.20288640000000002
Dividend Growth 5yr,
Short Int Current Month,16398503.0
Short Int Prev Month,0.0
Short Int Pct of Float,0.1523071
Days to Cover,5.6101
Float,108.0773
Shares Outstanding,111.6883
Institutions Holding Shares,256.0
% Held by Institutions,1.04763
FCF Growth 5yr,-9.044084897834669
