,EGHT
% Above Low,0.4983
% Held by Institutions,1.0476
52-Wk Range,['2.87 - 22.11']
Annual Dividend $,
Annual Dividend %,
Ask,4.95
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,1.4
Bid,4.15
Bid Size,2000.0
Closing Price,4.3
Day Change $,0.04
Day Change %,0.009399999999999999
Day High,4.4
Day Low,4.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,480.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.26
Shares Outstanding,111.7M
Short Interest,0.1523
Today's Open,4.31
Volume,471104.0
Volume 10-day Avg,3241206.0
Volume Past Day,(Light)
