,ECPG
% Above Low,0.12710000000000002
% Held by Institutions,1.1339
52-Wk Range,['44.06 - 72.73']
Annual Dividend $,
Annual Dividend %,
Ask,65.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.4
Bid,40.06
Bid Size,100.0
Closing Price,49.66
Day Change $,0.67
Day Change %,0.0137
Day High,49.88
Day Low,48.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.43
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.99
Prev Close,48.99
Shares Outstanding,23.4M
Short Interest,0.133
Today's Open,48.82
Volume,64691.0
Volume 10-day Avg,153053.0
Volume Past Day,(Light)
