,ECPG
Price/Earnings (TTM),3.9942
Price/Sales (TTM),0.8799
Price/Book (MRQ),0.97985
Price/Cash Flow (TTM),2.96801
5yr Low,15.27
5yr High,72.73
5yr Avg Return,0.08348333333333333
EPS Growth 5yr,0.2988437
Revenue Growth 5yr,0.0657828
Dividend Growth 5yr,
Short Int Current Month,3027896.0
Short Int Prev Month,3233052.0
Short Int Pct of Float,0.13302619999999998
Days to Cover,11.76147
Float,22.77511
Shares Outstanding,23.38575
Institutions Holding Shares,291.0
% Held by Institutions,1.133921
FCF Growth 5yr,0.17683588761174965
