,MGNX
% Above Low,1.7793
% Held by Institutions,0.9375
52-Wk Range,['2.13 - 19.67']
Annual Dividend $,
Annual Dividend %,
Ask,6.08
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.1
Bid,5.52
Bid Size,500.0
Closing Price,5.92
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.11
Ex-dividend Date,No dividend
Historical Volatility,0.915
Last (size),236.0
Last (time),1:00p ET 11/25/22
Market Cap,363.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.92
Shares Outstanding,61.5M
Short Interest,0.0713
Today's Open,
Volume,724437.0
Volume 10-day Avg,1271174.0
Volume Past Day,(Light)
